Day,Action,Price,Balance
0,HOLD,235.96066,100.0
1,HOLD,235.34203,100.0
2,HOLD,230.25323,100.0
3,HOLD,230.06364,100.0
4,HOLD,230.9018,100.0
5,HOLD,232.88742,100.0
6,HOLD,233.15683,100.0
7,HOLD,229.59468,100.0
8,HOLD,225.41388,100.0
9,HOLD,222.42049,100.0
10,HOLD,221.52243,100.0
11,HOLD,222.95929,100.0
12,HOLD,222.2309,100.0
13,HOLD,226.98044,100.0
14,HOLD,226.71074,100.0
15,HOLD,223.98373,100.0
16,HOLD,223.98373,100.0
17,HOLD,224.87276,100.0
18,HOLD,227.96936,100.0
19,HOLD,224.75287,100.0
20,HOLD,227.76956,100.0
21,HOLD,228.02927,100.0
22,HOLD,228.74847,100.0
23,HOLD,228.26901,100.0
24,HOLD,229.61752,100.0
25,HOLD,232.61423,100.0
26,HOLD,234.80183,100.0
27,HOLD,234.67198,100.0
28,HOLD,237.06935,100.0
29,HOLD,239.32684,100.0
30,HOLD,242.3835,100.0
31,HOLD,242.7431,100.0
32,HOLD,242.77307,100.0
33,HOLD,242.57329,100.0
34,HOLD,246.479,100.0
35,HOLD,247.49786,100.0
36,HOLD,246.21928,100.0
37,HOLD,247.68768,100.0
38,HOLD,247.85748,100.0
39,HOLD,250.76428,100.0
40,HOLD,253.2016,100.0
41,HOLD,247.77756,100.0
42,HOLD,249.51564,100.0
43,HOLD,254.21051,100.0
44,HOLD,254.98965,100.0
45,HOLD,257.91644,100.0
46,HOLD,258.7355,100.0
47,HOLD,255.30928,100.0
48,HOLD,251.923,100.0
