Day,Action,Price,Balance,Profit/Loss
0,BUY,189.07,100.0,
1,HOLD,189.7,100.0,
2,HOLD,184.71,100.0,
3,HOLD,186.38,100.0,
4,HOLD,187.83,100.0,
5,HOLD,188.39,100.0,
6,HOLD,190.83,100.0,
7,HOLD,192.73,100.0,
8,HOLD,186.4,100.0,
9,HOLD,197.93,100.0,
10,HOLD,195.78001,100.0,
11,SELL,199.5,110.42999267578125,10.42999267578125
12,HOLD,207.09,110.42999267578125,
13,HOLD,210.05,110.42999267578125,
14,BUY,208.18,110.42999267578125,
15,HOLD,206.84,110.42999267578125,
16,HOLD,208.91,110.42999267578125,
17,SELL,214.1,116.35000610351562,5.920013427734375
18,HOLD,211.48001,116.35000610351562,
19,BUY,202.61,116.35000610351562,
20,HOLD,201.7,116.35000610351562,
21,SELL,204.61,118.35000610351562,2.0
22,HOLD,202.88,118.35000610351562,
23,HOLD,198.38,118.35000610351562,
24,HOLD,197.12,118.35000610351562,
25,HOLD,201.45,118.35000610351562,
26,HOLD,207.86,118.35000610351562,
27,HOLD,205.74,118.35000610351562,
28,HOLD,207.89,118.35000610351562,
29,HOLD,210.71,118.35000610351562,
30,HOLD,213.44,118.35000610351562,
31,HOLD,218.16002,118.35000610351562,
32,HOLD,220.55,118.35000610351562,
33,HOLD,227.03,118.35000610351562,
34,BUY,226.09,118.35000610351562,
35,HOLD,225.04,118.35000610351562,
36,SELL,230.25998,122.51998901367188,4.16998291015625
37,HOLD,228.97,122.51998901367188,
38,HOLD,227.46,122.51998901367188,
39,HOLD,232.93,122.51998901367188,
40,HOLD,231.15,122.51998901367188,
41,HOLD,220.52,122.51998901367188,
42,HOLD,223.29,122.51998901367188,
43,HOLD,224.92,122.51998901367188,
44,HOLD,225.06,122.51998901367188,
45,HOLD,229.05,122.51998901367188,
46,HOLD,227.05,122.51998901367188,
47,HOLD,223.74998,122.51998901367188,
48,HOLD,221.3,122.51998901367188,
