Day,Action,Price,Balance,Profit/Loss
0,HOLD,464.16,100.0,
1,HOLD,461.45,100.0,
2,HOLD,460.61,100.0,
3,HOLD,457.77,100.0,
4,HOLD,454.01,100.0,
5,HOLD,458.49,100.0,
6,HOLD,454.61996,100.0,
7,HOLD,454.96,100.0,
8,HOLD,450.92,100.0,
9,HOLD,452.14,100.0,
10,BUY,442.29,100.0,
11,SELL,445.06,102.76998901367188,2.769989013671875
12,HOLD,468.9,102.76998901367188,
13,BUY,460.12997,102.76998901367188,
14,SELL,463.41,106.05001831054688,3.280029296875
15,HOLD,467.36,106.05001831054688,
16,HOLD,466.29,106.05001831054688,
17,HOLD,468.1,106.05001831054688,
18,HOLD,467.7,106.05001831054688,
19,HOLD,470.28,106.05001831054688,
20,HOLD,472.2,106.05001831054688,
21,HOLD,468.86,106.05001831054688,
22,HOLD,468.83,106.05001831054688,
23,HOLD,472.05997,106.05001831054688,
24,HOLD,476.57,106.05001831054688,
25,HOLD,477.43,106.05001831054688,
26,HOLD,478.56,106.05001831054688,
27,HOLD,483.08,106.05001831054688,
28,HOLD,483.02,106.05001831054688,
29,HOLD,477.33,106.05001831054688,
30,HOLD,470.19,106.05001831054688,
31,HOLD,468.32,106.05001831054688,
32,HOLD,470.57,106.05001831054688,
33,HOLD,470.5,106.05001831054688,
34,HOLD,463.87,106.05001831054688,
35,HOLD,462.49,106.05001831054688,
36,HOLD,461.39,106.05001831054688,
37,HOLD,458.63,106.05001831054688,
38,HOLD,457.9,106.05001831054688,
39,BUY,455.2,106.05001831054688,
40,HOLD,455.66,106.05001831054688,
41,HOLD,446.59,106.05001831054688,
42,HOLD,449.34,106.05001831054688,
43,HOLD,453.2,106.05001831054688,
44,SELL,454.35,105.20001220703125,-0.850006103515625
45,HOLD,458.66,105.20001220703125,
46,HOLD,459.08,105.20001220703125,
47,HOLD,456.50998,105.20001220703125,
48,HOLD,452.16,105.20001220703125,
