Day,Action,Price,Balance
0,HOLD,28.199999,100.0
1,HOLD,28.28,100.0
2,HOLD,27.890001,100.0
3,HOLD,27.579998,100.0
4,HOLD,27.65,100.0
5,HOLD,28.029999,100.0
6,HOLD,28.1,100.0
7,HOLD,28.25,100.0
8,HOLD,28.34,100.0
9,HOLD,28.07,100.0
10,HOLD,27.82,100.0
11,HOLD,28.02,100.0
12,HOLD,27.95,100.0
13,HOLD,28.14,100.0
14,HOLD,28.36,100.0
15,HOLD,28.28,100.0
16,HOLD,28.52,100.0
17,HOLD,28.7,100.0
18,HOLD,28.029999,100.0
19,HOLD,27.85,100.0
20,HOLD,28.770002,100.0
21,HOLD,28.68,100.0
22,HOLD,28.76,100.0
23,HOLD,28.719997,100.0
24,HOLD,28.8,100.0
25,HOLD,28.96,100.0
26,HOLD,29.399998,100.0
27,HOLD,29.58,100.0
28,HOLD,29.78,100.0
29,HOLD,29.910002,100.0
30,HOLD,29.910002,100.0
31,HOLD,30.279999,100.0
32,HOLD,30.49,100.0
33,HOLD,30.56,100.0
34,HOLD,30.33,100.0
35,HOLD,30.58,100.0
36,HOLD,30.6,100.0
37,HOLD,29.95,100.0
38,HOLD,29.95,100.0
39,HOLD,29.79,100.0
40,HOLD,29.939999,100.0
41,HOLD,29.799997,100.0
42,HOLD,29.999998,100.0
43,HOLD,29.799997,100.0
44,HOLD,29.5,100.0
45,HOLD,29.24,100.0
46,HOLD,28.92,100.0
47,HOLD,28.829998,100.0
48,HOLD,28.99,100.0
