Day,Action,Price,Balance,Profit/Loss
0,HOLD,163.69366,100.0,
1,HOLD,164.7612,100.0,
2,HOLD,162.40662,100.0,
3,HOLD,162.34674,100.0,
4,HOLD,164.89091,100.0,
5,HOLD,166.33757,100.0,
6,HOLD,169.29077,100.0,
7,HOLD,174.05981,100.0,
8,BUY,170.71751,100.0,
9,HOLD,170.89708,100.0,
10,HOLD,168.85179,100.0,
11,HOLD,169.35066,100.0,
12,HOLD,176.10512,100.0,
13,SELL,180.3354,109.61788940429688,9.617889404296875
14,BUY,177.9409,109.61788940429688,
15,SELL,179.93633,111.61331176757812,1.99542236328125
16,HOLD,181.20338,111.61331176757812,
17,HOLD,178.4697,111.61331176757812,
18,BUY,175.17725,111.61331176757812,
19,HOLD,172.09436,111.61331176757812,
20,HOLD,174.89789,111.61331176757812,
21,HOLD,177.71143,111.61331176757812,
22,HOLD,175.57632,111.61331176757812,
23,HOLD,167.2455,111.61331176757812,
24,HOLD,164.38206,111.61331176757812,
25,HOLD,167.26543,111.61331176757812,
26,SELL,168.73207,105.16813659667969,-6.4451751708984375
27,HOLD,168.84181,105.16813659667969,
28,HOLD,168.56245,105.16813659667969,
29,HOLD,171.09663,105.16813659667969,
30,HOLD,170.94696,105.16813659667969,
31,HOLD,173.97002,105.16813659667969,
32,HOLD,172.24399,105.16813659667969,
33,HOLD,174.30927,105.16813659667969,
34,HOLD,175.16826,105.16813659667969,
35,HOLD,184.95699,105.16813659667969,
36,HOLD,195.17522,105.16813659667969,
37,HOLD,191.7392,105.16813659667969,
38,HOLD,189.60164,105.16813659667969,
39,HOLD,196.43378,105.16813659667969,
40,HOLD,195.19519,105.16813659667969,
41,BUY,188.18326,105.16813659667969,
42,HOLD,188.29314,105.16813659667969,
43,HOLD,191.1898,105.16813659667969,
44,HOLD,194.40611,105.16813659667969,
45,SELL,195.8844,112.86927795410156,7.701141357421875
46,HOLD,195.375,112.86927795410156,
47,HOLD,192.53825,112.86927795410156,
48,HOLD,191.02,112.86927795410156,
