Day,Action,Price,Balance,Profit/Loss
0,HOLD,143.68689,100.0,
1,BUY,143.56691,100.0,
2,HOLD,139.53755,100.0,
3,HOLD,140.38742,100.0,
4,HOLD,141.51723,100.0,
5,HOLD,140.49739,100.0,
6,SELL,141.22728,97.66036987304688,-2.339630126953125
7,HOLD,139.31758,97.66036987304688,
8,BUY,132.73865,97.66036987304688,
9,HOLD,135.37822,97.66036987304688,
10,HOLD,136.02812,97.66036987304688,
11,SELL,139.8875,104.80921936035156,7.1488494873046875
12,HOLD,145.58656,104.80921936035156,
13,HOLD,148.85606,104.80921936035156,
14,HOLD,147.60625,104.80921936035156,
15,HOLD,145.23663,104.80921936035156,
16,HOLD,148.26611,104.80921936035156,
17,HOLD,146.24646,104.80921936035156,
18,HOLD,146.73637,104.80921936035156,
19,BUY,141.95715,104.80921936035156,
20,HOLD,140.12744,104.80921936035156,
21,SELL,146.98634,109.83840942382812,5.0291900634765625
22,HOLD,145.86653,109.83840942382812,
23,HOLD,146.6464,109.83840942382812,
24,BUY,141.92715,109.83840942382812,
25,HOLD,135.99812,109.83840942382812,
26,HOLD,136.89798,109.83840942382812,
27,HOLD,135.31822,109.83840942382812,
28,SELL,138.22777,106.13902282714844,-3.6993865966796875
29,HOLD,138.6077,106.13902282714844,
30,HOLD,140.23744,106.13902282714844,
31,HOLD,145.11664,106.13902282714844,
32,HOLD,145.04666,106.13902282714844,
33,HOLD,142.4269,106.13902282714844,
34,HOLD,138.79723,106.13902282714844,
35,HOLD,135.05759,106.13902282714844,
36,HOLD,139.29718,106.13902282714844,
37,HOLD,137.32736,106.13902282714844,
38,HOLD,134.23766,106.13902282714844,
39,HOLD,131.98785,106.13902282714844,
40,HOLD,130.378,106.13902282714844,
41,BUY,128.89815,106.13902282714844,
42,SELL,130.66797,107.90884399414062,1.7698211669921875
43,HOLD,134.6876,107.90884399414062,
44,HOLD,139.65715,107.90884399414062,
45,HOLD,140.2071,107.90884399414062,
46,HOLD,139.91713,107.90884399414062,
47,HOLD,136.99739,107.90884399414062,
48,HOLD,137.47736,107.90884399414062,
