Day,Action,Price,Balance,Profit/Loss
0,HOLD,211.6,100.0,
1,HOLD,212.85,100.0,
2,HOLD,210.75002,100.0,
3,HOLD,215.25,100.0,
4,HOLD,218.65001,100.0,
5,HOLD,219.05,100.0,
6,HOLD,221.05,100.0,
7,HOLD,222.7,100.0,
8,HOLD,224.0,100.0,
9,HOLD,219.55002,100.0,
10,HOLD,214.8,100.0,
11,HOLD,214.8,100.0,
12,HOLD,213.80002,100.0,
13,HOLD,215.65,100.0,
14,BUY,212.95,100.0,
15,HOLD,220.6,100.0,
16,HOLD,221.4,100.0,
17,HOLD,221.6,100.0,
18,HOLD,220.4,100.0,
19,SELL,219.45,106.5,6.5
20,HOLD,221.05,106.5,
21,HOLD,217.30002,106.5,
22,HOLD,218.6,106.5,
23,HOLD,219.9,106.5,
24,BUY,220.6,106.5,
25,HOLD,224.7,106.5,
26,HOLD,225.9,106.5,
27,HOLD,223.50002,106.5,
28,HOLD,223.20001,106.5,
29,SELL,220.15001,106.05000305175781,-0.4499969482421875
30,HOLD,220.15001,106.05000305175781,
31,HOLD,224.9,106.05000305175781,
32,HOLD,231.05,106.05000305175781,
33,HOLD,232.95,106.05000305175781,
34,HOLD,241.7,106.05000305175781,
35,HOLD,241.35,106.05000305175781,
36,HOLD,242.0,106.05000305175781,
37,HOLD,240.5,106.05000305175781,
38,HOLD,240.5,106.05000305175781,
39,HOLD,238.6,106.05000305175781,
40,HOLD,241.5,106.05000305175781,
41,HOLD,241.05,106.05000305175781,
42,HOLD,240.65,106.05000305175781,
43,HOLD,239.05,106.05000305175781,
44,BUY,240.3,106.05000305175781,
45,HOLD,237.05002,106.05000305175781,
46,HOLD,236.75002,106.05000305175781,
47,HOLD,236.35,106.05000305175781,
48,HOLD,239.5,106.05000305175781,
49,SELL (End),236.30002,102.05001831054688,-3.9999847412109375
