Day,Action,Price,Balance,Profit/Loss
0,HOLD,184.28,100.0,
1,HOLD,185.6,100.0,
2,HOLD,185.1,100.0,
3,HOLD,183.5,100.0,
4,HOLD,181.2,100.0,
5,HOLD,179.46,100.0,
6,HOLD,180.42,100.0,
7,HOLD,181.84,100.0,
8,HOLD,181.05998,100.0,
9,HOLD,179.48,100.0,
10,HOLD,178.4,100.0,
11,HOLD,181.52,100.0,
12,HOLD,181.3,100.0,
13,HOLD,184.0,100.0,
14,HOLD,184.1,100.0,
15,HOLD,187.98,100.0,
16,BUY,183.08,100.0,
17,SELL,185.84,102.75999450683594,2.7599945068359375
18,BUY,177.94,102.75999450683594,
19,SELL,179.4,104.21998596191406,1.459991455078125
20,HOLD,188.2,104.21998596191406,
21,HOLD,187.4,104.21998596191406,
22,HOLD,184.0,104.21998596191406,
23,HOLD,177.84,104.21998596191406,
24,HOLD,176.56,104.21998596191406,
25,HOLD,176.0,104.21998596191406,
26,HOLD,177.56,104.21998596191406,
27,HOLD,180.82,104.21998596191406,
28,HOLD,180.32,104.21998596191406,
29,HOLD,178.98,104.21998596191406,
30,HOLD,178.98,104.21998596191406,
31,HOLD,183.16,104.21998596191406,
32,HOLD,188.11998,104.21998596191406,
33,HOLD,190.2,104.21998596191406,
34,HOLD,191.89998,104.21998596191406,
35,HOLD,193.05998,104.21998596191406,
36,HOLD,193.7,104.21998596191406,
37,HOLD,194.14,104.21998596191406,
38,HOLD,194.14,104.21998596191406,
39,HOLD,195.52,104.21998596191406,
40,HOLD,194.0,104.21998596191406,
41,HOLD,191.38,104.21998596191406,
42,HOLD,190.32,104.21998596191406,
43,HOLD,192.92,104.21998596191406,
44,HOLD,194.72,104.21998596191406,
45,HOLD,189.44,104.21998596191406,
46,HOLD,189.26,104.21998596191406,
47,HOLD,188.98,104.21998596191406,
48,HOLD,189.6,104.21998596191406,
