Day,Action,Price,Balance,Profit/Loss
0,BUY,90.66,100.0,
1,HOLD,91.92,100.0,
2,HOLD,91.04,100.0,
3,HOLD,91.32,100.0,
4,HOLD,90.96,100.0,
5,HOLD,92.9,100.0,
6,HOLD,92.28,100.0,
7,HOLD,91.86,100.0,
8,HOLD,88.92,100.0,
9,HOLD,89.880005,100.0,
10,HOLD,88.94,100.0,
11,HOLD,88.5,100.0,
12,HOLD,88.26,100.0,
13,HOLD,88.08,100.0,
14,HOLD,84.32,100.0,
15,HOLD,85.78,100.0,
16,HOLD,84.14,100.0,
17,HOLD,84.54,100.0,
18,HOLD,83.91999,100.0,
19,HOLD,81.86,100.0,
20,HOLD,83.32,100.0,
21,HOLD,83.98,100.0,
22,HOLD,83.939995,100.0,
23,HOLD,82.98,100.0,
24,HOLD,81.76,100.0,
25,HOLD,81.24,100.0,
26,HOLD,81.8,100.0,
27,HOLD,81.8,100.0,
28,HOLD,80.44,100.0,
29,HOLD,80.32,100.0,
30,HOLD,80.32,100.0,
31,HOLD,80.72,100.0,
32,HOLD,80.66,100.0,
33,HOLD,80.36,100.0,
34,HOLD,81.38,100.0,
35,HOLD,82.18,100.0,
36,HOLD,83.14,100.0,
37,HOLD,84.34,100.0,
38,HOLD,84.34,100.0,
39,HOLD,86.1,100.0,
40,HOLD,86.84,100.0,
41,HOLD,88.02,100.0,
42,HOLD,86.24,100.0,
43,HOLD,86.66,100.0,
44,HOLD,87.64,100.0,
45,HOLD,87.32,100.0,
46,HOLD,88.8,100.0,
47,HOLD,87.04,100.0,
48,HOLD,88.659996,100.0,
49,SELL (End),88.659996,97.99999237060547,-2.0000076293945312
